#Gene stable ID	Transcript stable ID	Gene name
YPR145W	YPR145W_mRNA	ASN1
YOR358W	YOR358W_mRNA	HAP5
YGR057C	YGR057C_mRNA	LST7
YOR153W	YOR153W_mRNA	PDR5
snR42	snR42_snoRNA	SNR42
YLR194C	YLR194C_mRNA	NCW2
YOL009C	YOL009C_mRNA	MDM12
YLR270W	YLR270W_mRNA	DCS1
YIL100W	YIL100W_mRNA	
YPL038W	YPL038W_mRNA	MET31
YOR245C	YOR245C_mRNA	DGA1
YLR290C	YLR290C_mRNA	COQ11
YLR438W	YLR438W_mRNA	CAR2
YJR152W	YJR152W_mRNA	DAL5
YGL263W	YGL263W_mRNA	COS12
tP(UGG)O2	tP(UGG)O2_tRNA	SUF11
YOR241W	YOR241W_mRNA	MET7
YJL072C	YJL072C_mRNA	PSF2
YJR056C	YJR056C_mRNA	
YLR389C	YLR389C_mRNA	STE23
YPR160C-A	YPR160C-A_mRNA	
YFL002C	YFL002C_mRNA	SPB4
YDR249C	YDR249C_mRNA	
YER172C-A	YER172C-A_mRNA	
YNL238W	YNL238W_mRNA	KEX2
YMR068W	YMR068W_mRNA	AVO2
YGR176W	YGR176W_mRNA	
tN(GUU)P	tN(GUU)P_tRNA	
YJL038C	YJL038C_mRNA	LOH1
YPR185W	YPR185W_mRNA	ATG13
YNL057W	YNL057W_mRNA	
YOR334W	YOR334W_mRNA	MRS2
YBL081W	YBL081W_mRNA	
YLL033W	YLL033W_mRNA	IRC19
YKL196C	YKL196C_mRNA	YKT6
YGR269W	YGR269W_mRNA	
YMR144W	YMR144W_mRNA	FDO1
YBL041W	YBL041W_mRNA	PRE7
YLR361C	YLR361C_mRNA	DCR2
YDL212W	YDL212W_mRNA	SHR3
YCL032W	YCL032W_mRNA	STE50
Q0032	Q0032_mRNA	Q0032
YLR353W	YLR353W_mRNA	BUD8
YPL167C	YPL167C_mRNA	REV3
YKL188C	YKL188C_mRNA	PXA2
YNL183C	YNL183C_mRNA	NPR1
YPL032C	YPL032C_mRNA	SVL3
YDR142C	YDR142C_mRNA	PEX7
YLR123C	YLR123C_mRNA	
YDR267C	YDR267C_mRNA	CIA1
YMR060C	YMR060C_mRNA	SAM37
YKL076C	YKL076C_mRNA	PSY1
YGR214W	YGR214W_mRNA	RPS0A
YDR215C	YDR215C_mRNA	
YER129W	YER129W_mRNA	SAK1
YKR026C	YKR026C_mRNA	GCN3
tK(CUU)J	tK(CUU)J_tRNA	
YGR095C	YGR095C_mRNA	RRP46
YFR008W	YFR008W_mRNA	FAR7
YDR047W	YDR047W_mRNA	HEM12
YER015W	YER015W_mRNA	FAA2
YOL162W	YOL162W_mRNA	
YNR047W	YNR047W_mRNA	FPK1
YLR019W	YLR019W_mRNA	PSR2
YLR209C	YLR209C_mRNA	PNP1
YLR438C-A	YLR438C-A_mRNA	LSM3
YGR134W	YGR134W_mRNA	CAF130
YMR117C	YMR117C_mRNA	SPC24
YIL175W	YIL175W	
YBR011C	YBR011C_mRNA	IPP1
YDR069C	YDR069C_mRNA	DOA4
YLR314C	YLR314C_mRNA	CDC3
YDR503C	YDR503C_mRNA	LPP1
YJR137C	YJR137C_mRNA	MET5
YNL093W	YNL093W_mRNA	YPT53
YER181C	YER181C_mRNA	
YCR039C	YCR039C_mRNA	MATALPHA2
YDR080W	YDR080W_mRNA	VPS41
YAR070C	YAR070C_mRNA	
YPL074W	YPL074W_mRNA	YTA6
YJL054W	YJL054W_mRNA	TIM54
YPL065W	YPL065W_mRNA	VPS28
YOR226C	YOR226C_mRNA	ISU2
YOR168W	YOR168W_mRNA	GLN4
YJL081C	YJL081C_mRNA	ARP4
YJL219W	YJL219W_mRNA	HXT9
YER100W	YER100W_mRNA	UBC6
YDL174C	YDL174C_mRNA	DLD1
YOL111C	YOL111C_mRNA	MDY2
YCR073W-A	YCR073W-A_mRNA	SOL2
YOR368W	YOR368W_mRNA	RAD17
YJL134W	YJL134W_mRNA	LCB3
YBL096C	YBL096C_mRNA	
YKL064W	YKL064W_mRNA	MNR2
YEL006W	YEL006W_mRNA	YEA6
YBR189W	YBR189W_mRNA	RPS9B
YLL051C	YLL051C_mRNA	FRE6
tQ(UUG)E2	tQ(UUG)E2_tRNA	
YLR158C	YLR158C_mRNA	ASP3-3
YNL074C	YNL074C_mRNA	MLF3
YKL130C	YKL130C_mRNA	SHE2
YNL329C	YNL329C_mRNA	PEX6
YKL195W	YKL195W_mRNA	MIA40
YML068W	YML068W_mRNA	ITT1
YLR402W	YLR402W_mRNA	
YEL049W	YEL049W_mRNA	PAU2
YGL150C	YGL150C_mRNA	INO80
YOR131C	YOR131C_mRNA	
YNL011C	YNL011C_mRNA	
YDR172W	YDR172W_mRNA	SUP35
tD(GUC)K	tD(GUC)K_tRNA	
YKL206C	YKL206C_mRNA	ADD66
YAR019W-A	YAR019W-A_mRNA	
YAR069C	YAR069C_mRNA	
YOR134W	YOR134W_mRNA	BAG7
YGR203W	YGR203W_mRNA	YCH1
YPL220W	YPL220W_mRNA	RPL1A
YMR257C	YMR257C_mRNA	PET111
YGL127C	YGL127C_mRNA	SOH1
YOR078W	YOR078W_mRNA	BUD21
YKL075C	YKL075C_mRNA	
YDR286C	YDR286C_mRNA	
YER037W	YER037W_mRNA	PHM8
YJR160C	YJR160C_mRNA	MPH3
YPL176C	YPL176C_mRNA	TRE1
YMR221C	YMR221C_mRNA	FMP42
YJR057W	YJR057W_mRNA	CDC8
YOL109W	YOL109W_mRNA	ZEO1
YKL071W	YKL071W_mRNA	
YPR070W	YPR070W_mRNA	MED1
YGR202C	YGR202C_mRNA	PCT1
YAR033W	YAR033W_mRNA	MST28
YER031C	YER031C_mRNA	YPT31
YHR214C-E	YHR214C-E_mRNA	
YDL175C	YDL175C_mRNA	AIR2
YMR003W	YMR003W_mRNA	AIM34
YGL181W	YGL181W_mRNA	GTS1
YER050C	YER050C_mRNA	RSM18
YLR175W	YLR175W_mRNA	CBF5
YDR037W	YDR037W_mRNA	KRS1
YDR151C	YDR151C_mRNA	CTH1
YGR116W	YGR116W_mRNA	SPT6
YML081W	YML081W_mRNA	TDA9
YGR180C	YGR180C_mRNA	RNR4
snR4	snR4_snoRNA	SNR4
YNL056W	YNL056W_mRNA	OCA2
YDR004W	YDR004W_mRNA	RAD57
YHR027C	YHR027C_mRNA	RPN1
YML018C	YML018C_mRNA	
YIL025C	YIL025C_mRNA	
YER155C	YER155C_mRNA	BEM2
YLR146W-A	YLR146W-A_mRNA	
YBR297W	YBR297W_mRNA	MAL33
YBL008W-A	YBL008W-A_mRNA	
YJR117W	YJR117W_mRNA	STE24
YEL034C-A	YEL034C-A_mRNA	
YNL022C	YNL022C_mRNA	RCM1
YML032C	YML032C_mRNA	RAD52
YOR192C	YOR192C_mRNA	THI72
RDN58-1	RDN58-1_rRNA	RDN58-1
YPR108W-A	YPR108W-A_mRNA	
YOR304C-A	YOR304C-A_mRNA	BIL1
YBL012C	YBL012C_mRNA	
YBR156C	YBR156C_mRNA	SLI15
YGL187C	YGL187C_mRNA	COX4
YLR066W	YLR066W_mRNA	SPC3
YDL166C	YDL166C_mRNA	FAP7
YBL077W	YBL077W_mRNA	
YKR097W	YKR097W_mRNA	PCK1
YOR145C	YOR145C_mRNA	PNO1
YOL067C	YOL067C_mRNA	RTG1
YDR063W	YDR063W_mRNA	AIM7
YIL112W	YIL112W_mRNA	HOS4
YNL042W	YNL042W_mRNA	BOP3
YNL175C	YNL175C_mRNA	NOP13
YBR162W-A	YBR162W-A_mRNA	YSY6
YGL057C	YGL057C_mRNA	GEP7
YGL244W	YGL244W_mRNA	RTF1
YPR050C	YPR050C_mRNA	
YOR116C	YOR116C_mRNA	RPO31
YOL070C	YOL070C_mRNA	NBA1
YMR126C	YMR126C_mRNA	DLT1
YOL033W	YOL033W_mRNA	MSE1
RDN25-2	RDN25-2_rRNA	RDN25-2
YOR033C	YOR033C_mRNA	EXO1
tR(UCU)D	tR(UCU)D_tRNA	
YOL024W	YOL024W_mRNA	
YNL265C	YNL265C_mRNA	IST1
YMR179W	YMR179W_mRNA	SPT21
YMR067C	YMR067C_mRNA	UBX4
YPL272C	YPL272C_mRNA	PBI1
YKL108W	YKL108W_mRNA	SLD2
YDR032C	YDR032C_mRNA	PST2
YLL018C-A	YLL018C-A_mRNA	COX19
YNL131W	YNL131W_mRNA	TOM22
YNL307C	YNL307C_mRNA	MCK1
YLR092W	YLR092W_mRNA	SUL2
YGR287C	YGR287C_mRNA	IMA1
YIR012W	YIR012W_mRNA	SQT1
YKL009W	YKL009W_mRNA	MRT4
YOR324C	YOR324C_mRNA	FRT1
YOR006C	YOR006C_mRNA	TSR3
YDL143W	YDL143W_mRNA	CCT4
YIL156W	YIL156W_mRNA	UBP7
YOR166C	YOR166C_mRNA	SWT1
tQ(UUG)E1	tQ(UUG)E1_tRNA	
YPR016W-A	YPR016W-A_mRNA	
YOR177C	YOR177C_mRNA	MPC54
YPL077C	YPL077C_mRNA	
YNR003W-A	YNR003W-A_mRNA	
YHR112C	YHR112C_mRNA	
YMR150C	YMR150C_mRNA	IMP1
YBR256C	YBR256C_mRNA	RIB5
YDR071C	YDR071C_mRNA	PAA1
YDR093W	YDR093W_mRNA	DNF2
YLR373C	YLR373C_mRNA	VID22
snR87	snR87_snoRNA	SNR87
YJL165C	YJL165C_mRNA	HAL5
YOL004W	YOL004W_mRNA	SIN3
YOL125W	YOL125W_mRNA	TRM13
YML010W	YML010W_mRNA	SPT5
YDR149C	YDR149C_mRNA	
YOR128C	YOR128C_mRNA	ADE2
YDR384C	YDR384C_mRNA	ATO3
YIL047C-A	YIL047C-A_mRNA	
YGR245C	YGR245C_mRNA	SDA1
YER053C	YER053C_mRNA	PIC2
YLR029C	YLR029C_mRNA	RPL15A
YIR030W-A	YIR030W-A_mRNA	
YGR016W	YGR016W_mRNA	
YLR224W	YLR224W_mRNA	UCC1
YLR299W	YLR299W_mRNA	ECM38
YMR026C	YMR026C_mRNA	PEX12
YBL076C	YBL076C_mRNA	ILS1
YHR050W	YHR050W_mRNA	SMF2
YLR309C	YLR309C_mRNA	IMH1
YNR038W	YNR038W_mRNA	DBP6
YIL002C	YIL002C_mRNA	INP51
YDL164C	YDL164C_mRNA	CDC9
YJL078C	YJL078C_mRNA	PRY3
YBR030W	YBR030W_mRNA	RKM3
YPL047W	YPL047W_mRNA	SGF11
YGR111W	YGR111W_mRNA	
YKL015W	YKL015W_mRNA	PUT3
YOR118W	YOR118W_mRNA	RTC5
YNR008W	YNR008W_mRNA	LRO1
YGL077C	YGL077C_mRNA	HNM1
YPR133C	YPR133C_mRNA	SPN1
YAR071W	YAR071W_mRNA	PHO11
YDL049C	YDL049C_mRNA	KNH1
YEL039C	YEL039C_mRNA	CYC7
YAL064W	YAL064W_mRNA	
YHR167W	YHR167W_mRNA	THP2
YGR037C	YGR037C_mRNA	ACB1
YPR082C	YPR082C_mRNA	DIB1
YKR002W	YKR002W_mRNA	PAP1
YJL020W-A	YJL020W-A_mRNA	
YOL010W	YOL010W_mRNA	RCL1
YBL053W	YBL053W_mRNA	
YOR083W	YOR083W_mRNA	WHI5
YLR367W	YLR367W_mRNA	RPS22B
YHR168W	YHR168W_mRNA	MTG2
YDR334W	YDR334W_mRNA	SWR1
YGR109C	YGR109C_mRNA	CLB6
snR44	snR44_snoRNA	SNR44
YCR047W-A	YCR047W-A_mRNA	
YPL189C-A	YPL189C-A_mRNA	COA2
YNL254C	YNL254C_mRNA	RTC4
snR63	snR63_snoRNA	SNR63
YER044C	YER044C_mRNA	ERG28
YGR133W	YGR133W_mRNA	PEX4
YBR096W	YBR096W_mRNA	
YDL217C	YDL217C_mRNA	TIM22
tL(CAA)D	tL(CAA)D_tRNA	
YKL210W	YKL210W_mRNA	UBA1
YER048C	YER048C_mRNA	CAJ1
YDL036C	YDL036C_mRNA	PUS9
YDR456W	YDR456W_mRNA	NHX1
YBL073W	YBL073W_mRNA	
YHR203C	YHR203C_mRNA	RPS4B
YNL151C	YNL151C_mRNA	RPC31
YHR032C-A	YHR032C-A_mRNA	
YMR261C	YMR261C_mRNA	TPS3
YLR280C	YLR280C_mRNA	
YBR033W	YBR033W_mRNA	EDS1
YIL046W-A	YIL046W-A_mRNA	
YKR046C	YKR046C_mRNA	PET10
YKL170W	YKL170W_mRNA	MRPL38
YER028C	YER028C_mRNA	MIG3
YOL037C	YOL037C_mRNA	
YGL258W-A	YGL258W-A_mRNA	
YNL090W	YNL090W_mRNA	RHO2
YDL032W	YDL032W_mRNA	
YCR098C	YCR098C_mRNA	GIT1
tI(AAU)D	tI(AAU)D_tRNA	
YNL038W	YNL038W_mRNA	GPI15
YMR281W	YMR281W_mRNA	GPI12
YHR213W-A	YHR213W-A_mRNA	
YMR175W-A	YMR175W-A_mRNA	
YMR259C	YMR259C_mRNA	TRM732
YDR221W	YDR221W_mRNA	GTB1
YGL202W	YGL202W_mRNA	ARO8
YLR381W	YLR381W_mRNA	CTF3
YLR448W	YLR448W_mRNA	RPL6B
YPL056C	YPL056C_mRNA	LCL1
YLR098C	YLR098C_mRNA	CHA4
YDR320C	YDR320C_mRNA	SWA2
YDR344C	YDR344C_mRNA	
YNR030W	YNR030W_mRNA	ALG12
YAL016C-A	YAL016C-A_mRNA	
YPR074C	YPR074C_mRNA	TKL1
YOR233W	YOR233W_mRNA	KIN4
YHR194W	YHR194W_mRNA	MDM31
YER053C-A	YER053C-A_mRNA	
YNL006W	YNL006W_mRNA	LST8
YMR047C	YMR047C_mRNA	NUP116
YHR127W	YHR127W_mRNA	YHR127W
tD(GUC)J4	tD(GUC)J4_tRNA	
YBL094C	YBL094C_mRNA	
YLR300W	YLR300W_mRNA	EXG1
YJL127C-B	YJL127C-B_mRNA	YJL127C-B
YOL017W	YOL017W_mRNA	ESC8
YLR192C	YLR192C_mRNA	HCR1
YHR149C	YHR149C_mRNA	SKG6
YLR399W-A	YLR399W-A_mRNA	
tR(UCU)B	tR(UCU)B_tRNA	
YGR296C-B	YGR296C-B_mRNA	
YLR293C	YLR293C_mRNA	GSP1
YHR130C	YHR130C_mRNA	
YPR094W	YPR094W_mRNA	RDS3
YHR051W	YHR051W_mRNA	COX6
YDL056W	YDL056W_mRNA	MBP1
YDR084C	YDR084C_mRNA	TVP23
YFL052W	YFL052W_mRNA	
YIL152W	YIL152W_mRNA	
YMR205C	YMR205C_mRNA	PFK2
YMR235C	YMR235C_mRNA	RNA1
YCR009C	YCR009C_mRNA	RVS161
YBL036C	YBL036C_mRNA	
YER143W	YER143W_mRNA	DDI1
YDL051W	YDL051W_mRNA	LHP1
YMR241W	YMR241W_mRNA	YHM2
YIL155C	YIL155C_mRNA	GUT2
YPL136W	YPL136W_mRNA	
YDL161W	YDL161W_mRNA	ENT1
YOR323C	YOR323C_mRNA	PRO2
YER014W	YER014W_mRNA	HEM14
YLR044C	YLR044C_mRNA	PDC1
YGL049C	YGL049C_mRNA	TIF4632
YGR263C	YGR263C_mRNA	SAY1
YNL214W	YNL214W_mRNA	PEX17
YNL019C	YNL019C_mRNA	
YMR316C-A	YMR316C-A_mRNA	
YEL008W	YEL008W_mRNA	
tV(CAC)H	tV(CAC)H_tRNA	
YJR074W	YJR074W_mRNA	MOG1
YGR064W	YGR064W_mRNA	
YBL111C	YBL111C_mRNA	
YOL030W	YOL030W_mRNA	GAS5
YER034W	YER034W_mRNA	
YMR210W	YMR210W_mRNA	MGL2
YMR158W	YMR158W_mRNA	MRPS8
YOL019W-A	YOL019W-A_mRNA	
YDR375C	YDR375C_mRNA	BCS1
YER114C	YER114C_mRNA	BOI2
YLR035C	YLR035C_mRNA	MLH2
YMR162C	YMR162C_mRNA	DNF3
YJL197W	YJL197W_mRNA	UBP12
YBR110W	YBR110W_mRNA	ALG1
YJL048C	YJL048C_mRNA	UBX6
YGL131C	YGL131C_mRNA	SNT2
YFL028C	YFL028C_mRNA	CAF16
YJL208C	YJL208C_mRNA	NUC1
YOR155C	YOR155C_mRNA	ISN1
YDR383C	YDR383C_mRNA	NKP1
YPL154C	YPL154C_mRNA	PEP4
YDR453C	YDR453C_mRNA	TSA2
tW(CCA)P	tW(CCA)P_tRNA	
YNL031C	YNL031C_mRNA	HHT2
YER008C	YER008C_mRNA	SEC3
tS(UGA)E	tS(UGA)E_tRNA	SUP19
YDR269C	YDR269C_mRNA	
tD(GUC)M	tD(GUC)M_tRNA	
YKR050W	YKR050W_mRNA	TRK2
YDR273W	YDR273W_mRNA	DON1
YGR257C	YGR257C_mRNA	MTM1
YJR099W	YJR099W_mRNA	YUH1
YOR242C	YOR242C_mRNA	SSP2
YNR019W	YNR019W_mRNA	ARE2
YAL047W-A	YAL047W-A_mRNA	
YDR406W	YDR406W_mRNA	PDR15
YKL096W	YKL096W_mRNA	CWP1
YKR061W	YKR061W_mRNA	KTR2
YIL103W	YIL103W_mRNA	DPH1
YGL253W	YGL253W_mRNA	HXK2
YBL001C	YBL001C_mRNA	ECM15
YPR087W	YPR087W_mRNA	VPS69
YGL045W	YGL045W_mRNA	RIM8
YOR086C	YOR086C_mRNA	TCB1
YDL247W	YDL247W_mRNA	MPH2
tM(CAU)D	tM(CAU)D_tRNA	EMT1
YGR222W	YGR222W_mRNA	PET54
YPR146C	YPR146C_mRNA	
YLR383W	YLR383W_mRNA	SMC6
YCR077C	YCR077C_mRNA	PAT1
ZOD1	ZOD1_ncRNA	ZOD1
YNL049C	YNL049C_mRNA	SFB2
YGL143C	YGL143C_mRNA	MRF1
YNR004W	YNR004W_mRNA	SWM2
YJR016C	YJR016C_mRNA	ILV3
YML027W	YML027W_mRNA	YOX1
YDR545C-A	YDR545C-A_mRNA	
YHL030W	YHL030W_mRNA	ECM29
tK(UUU)P	tK(UUU)P_tRNA	
YIL094C	YIL094C_mRNA	LYS12
YGL142C	YGL142C_mRNA	GPI10
YDL185C-A	YDL185C-A_mRNA	
YMR163C	YMR163C_mRNA	INP2
YER190C-A	YER190C-A_mRNA	
YAL013W	YAL013W_mRNA	DEP1
YBR111C	YBR111C_mRNA	YSA1
tP(UGG)O1	tP(UGG)O1_tRNA	
YPL112C	YPL112C_mRNA	PEX25
YKL040C	YKL040C_mRNA	NFU1
YJL158C	YJL158C_mRNA	CIS3
YBR072W	YBR072W_mRNA	HSP26
YDR276C	YDR276C_mRNA	PMP3
YHR120W	YHR120W_mRNA	MSH1
YGR227W	YGR227W_mRNA	DIE2
YKL013C	YKL013C_mRNA	ARC19
YMR018W	YMR018W_mRNA	PEX9
YBL039W-B	YBL039W-B_mRNA	YBL039W-B
YIR018C-A	YIR018C-A_mRNA	
YGR232W	YGR232W_mRNA	NAS6
YCR037C	YCR037C_mRNA	PHO87
YDR298C	YDR298C_mRNA	ATP5
YIR029W	YIR029W_mRNA	DAL2
YBR054W	YBR054W_mRNA	YRO2
YKL065C	YKL065C_mRNA	YET1
YBL070C	YBL070C_mRNA	
YDR370C	YDR370C_mRNA	DXO1
YLR166C	YLR166C_mRNA	SEC10
YIL066C	YIL066C_mRNA	RNR3
YML095C	YML095C_mRNA	RAD10
YNL098C	YNL098C_mRNA	RAS2
YDR357C	YDR357C_mRNA	CNL1
YDL151C	YDL151C_mRNA	BUD30
YKL141W	YKL141W_mRNA	SDH3
YCR088W	YCR088W_mRNA	ABP1
YDR495C	YDR495C_mRNA	VPS3
YNL293W	YNL293W_mRNA	MSB3
YMR315W-A	YMR315W-A_mRNA	
snR43	snR43_snoRNA	SNR43
YMR237W	YMR237W_mRNA	BCH1
YPL215W	YPL215W_mRNA	CBP3
YPL135W	YPL135W_mRNA	ISU1
tR(ACG)K	tR(ACG)K_tRNA	
YPR184W	YPR184W_mRNA	GDB1
YPR037C	YPR037C_mRNA	ERV2
YOR175C	YOR175C_mRNA	ALE1
YHR145C	YHR145C_mRNA	
YNL077W	YNL077W_mRNA	APJ1
YNL177C	YNL177C_mRNA	MRPL22
YGR277C	YGR277C_mRNA	CAB4
YNL200C	YNL200C_mRNA	NNR1
YMR305C	YMR305C_mRNA	SCW10
YPR035W	YPR035W_mRNA	GLN1
YLR081W	YLR081W_mRNA	GAL2
YBR139W	YBR139W_mRNA	
YML041C	YML041C_mRNA	VPS71
YJL111W	YJL111W_mRNA	CCT7
YKR086W	YKR086W_mRNA	PRP16
YLR432W	YLR432W_mRNA	IMD3
YDR259C	YDR259C_mRNA	YAP6
YIL048W	YIL048W_mRNA	NEO1
YBR128C	YBR128C_mRNA	ATG14
YKL016C	YKL016C_mRNA	ATP7
YBR199W	YBR199W_mRNA	KTR4
YNL076W	YNL076W_mRNA	MKS1
YAL066W	YAL066W_mRNA	
YHR098C	YHR098C_mRNA	SFB3
YPL015C	YPL015C_mRNA	HST2
YNL020C	YNL020C_mRNA	ARK1
YDR502C	YDR502C_mRNA	SAM2
YDR447C	YDR447C_mRNA	RPS17B
YDL039C	YDL039C_mRNA	PRM7
YJL074C	YJL074C_mRNA	SMC3
YOR164C	YOR164C_mRNA	GET4
YKL166C	YKL166C_mRNA	TPK3
YEL042W	YEL042W_mRNA	GDA1
YML094C-A	YML094C-A_mRNA	YML094C-A
YGR118W	YGR118W_mRNA	RPS23A
YDL225W	YDL225W_mRNA	SHS1
YIL006W	YIL006W_mRNA	YIA6
YHR182W	YHR182W_mRNA	
YOL097C	YOL097C_mRNA	WRS1
snR52	snR52_snoRNA	SNR52
YMR033W	YMR033W_mRNA	ARP9
YLR015W	YLR015W_mRNA	BRE2
YJL137C	YJL137C_mRNA	GLG2
YER139C	YER139C_mRNA	RTR1
YLR465C	YLR465C_mRNA	BSC3
YDR224C	YDR224C_mRNA	HTB1
YOR360C	YOR360C_mRNA	PDE2
YNL155W	YNL155W_mRNA	CUZ1
YPL234C	YPL234C_mRNA	VMA11
YCL005W	YCL005W_mRNA	LDB16
YMR277W	YMR277W_mRNA	FCP1
YJR064W	YJR064W_mRNA	CCT5
YOL128C	YOL128C_mRNA	YGK3
YGL064C	YGL064C_mRNA	MRH4
YPL151C	YPL151C_mRNA	PRP46
YPL236C	YPL236C_mRNA	ENV7
YHR095W	YHR095W_mRNA	
YNL233W	YNL233W_mRNA	BNI4
YOR102W	YOR102W_mRNA	
YBR251W	YBR251W_mRNA	MRPS5
YIL176C	YIL176C_mRNA	PAU14
YHR046C	YHR046C_mRNA	INM1
YPL067C	YPL067C_mRNA	
YCL045C	YCL045C_mRNA	EMC1
YOL045W	YOL045W_mRNA	PSK2
YDR418W	YDR418W_mRNA	RPL12B
YMR215W	YMR215W_mRNA	GAS3
YJL088W	YJL088W_mRNA	ARG3
YHR101C	YHR101C_mRNA	BIG1
YER164W	YER164W_mRNA	CHD1
YDR225W	YDR225W_mRNA	HTA1
YOR020W-A	YOR020W-A_mRNA	
YDL002C	YDL002C_mRNA	NHP10
YKR012C	YKR012C_mRNA	
YJL153C	YJL153C_mRNA	INO1
YHL020C	YHL020C_mRNA	OPI1
tV(AAC)E2	tV(AAC)E2_tRNA	
snR79	snR79_snoRNA	SNR79
YJL145W	YJL145W_mRNA	SFH5
YGR034W	YGR034W_mRNA	RPL26B
YBR240C	YBR240C_mRNA	THI2
YNL324W	YNL324W_mRNA	
YOR283W	YOR283W_mRNA	
YGR009C	YGR009C_mRNA	SEC9
YOR234C	YOR234C_mRNA	RPL33B
YPL227C	YPL227C_mRNA	ALG5
YGL035C	YGL035C_mRNA	MIG1
YLR001C	YLR001C_mRNA	
YLR285C-A	YLR285C-A_mRNA	
YLL047W	YLL047W_mRNA	
YGL154C	YGL154C_mRNA	LYS5
YHR215W	YHR215W_mRNA	PHO12
YDR434W	YDR434W_mRNA	GPI17
YJR121W	YJR121W_mRNA	ATP2
YLL029W	YLL029W_mRNA	FRA1
YDR014W-A	YDR014W-A_mRNA	HED1
snR51	snR51_snoRNA	SNR51
YMR274C	YMR274C_mRNA	RCE1
YGL063W	YGL063W_mRNA	PUS2
YMR084W	YMR084W_mRNA	
YLR154W-B	YLR154W-B_mRNA	
YNL092W	YNL092W_mRNA	
snR48	snR48_snoRNA	SNR48
YNR023W	YNR023W_mRNA	SNF12
YGR023W	YGR023W_mRNA	MTL1
YIL035C	YIL035C_mRNA	CKA1
YNL004W	YNL004W_mRNA	HRB1
YLR303W	YLR303W_mRNA	MET17
YPL002C	YPL002C_mRNA	SNF8
YOR384W	YOR384W_mRNA	FRE5
YAL056W	YAL056W_mRNA	GPB2
tH(GUG)G1	tH(GUG)G1_tRNA	
YMR317W	YMR317W_mRNA	
YML054C	YML054C_mRNA	CYB2
YPR159W	YPR159W_mRNA	KRE6
YHR133C	YHR133C_mRNA	NSG1
YLR313C	YLR313C_mRNA	SPH1
YGL254W	YGL254W_mRNA	FZF1
YBL092W	YBL092W_mRNA	RPL32
YPL070W	YPL070W_mRNA	MUK1
YNL218W	YNL218W_mRNA	MGS1
YMR024W	YMR024W_mRNA	MRPL3
YDR153C	YDR153C_mRNA	ENT5
YDL184C	YDL184C_mRNA	RPL41A
YOR010C	YOR010C_mRNA	TIR2
YDL154W	YDL154W_mRNA	MSH5
YBR062C	YBR062C_mRNA	
YBL014C	YBL014C_mRNA	RRN6
YNL250W	YNL250W_mRNA	RAD50
YDR431W	YDR431W_mRNA	
YNL314W	YNL314W_mRNA	DAL82
YNL227C	YNL227C_mRNA	JJJ1
YER054C	YER054C_mRNA	GIP2
YBR099C	YBR099C_mRNA	
YNR025C	YNR025C_mRNA	
YAL001C	YAL001C_mRNA	TFC3
YJL012C	YJL012C_mRNA	VTC4
YGR286C	YGR286C_mRNA	BIO2
YGL159W	YGL159W_mRNA	
YGR153W	YGR153W_mRNA	YGR153W
YKR019C	YKR019C_mRNA	IRS4
YNL290W	YNL290W_mRNA	RFC3
YJL107C	YJL107C_mRNA	
YDR245W	YDR245W_mRNA	MNN10
YOR315W	YOR315W_mRNA	SFG1
tL(CAA)K	tL(CAA)K_tRNA	
YMR255W	YMR255W_mRNA	GFD1
YKL209C	YKL209C_mRNA	STE6
YBL047C	YBL047C_mRNA	EDE1
YNL189W	YNL189W_mRNA	SRP1
YER033C	YER033C_mRNA	ZRG8
YGR136W	YGR136W_mRNA	LSB1
YFL022C	YFL022C_mRNA	FRS2
YDR183W	YDR183W_mRNA	PLP1
YMR119W	YMR119W_mRNA	ASI1
YBR145W	YBR145W_mRNA	ADH5
YMR227C	YMR227C_mRNA	TAF7
YER120W	YER120W_mRNA	SCS2
YJL043W	YJL043W_mRNA	
YOL158C	YOL158C_mRNA	ENB1
YGL197W	YGL197W_mRNA	MDS3
YHR150W	YHR150W_mRNA	PEX28
YPL040C	YPL040C_mRNA	ISM1
YPL185W	YPL185W_mRNA	
YDR003W-A	YDR003W-A_mRNA	
tT(AGU)N2	tT(AGU)N2_tRNA	
YHR070W	YHR070W_mRNA	TRM5
YBR248C	YBR248C_mRNA	HIS7
YBR190W	YBR190W_mRNA	
YNL118C	YNL118C_mRNA	DCP2
YCL036W	YCL036W_mRNA	GFD2
YGR196C	YGR196C_mRNA	FYV8
YLR060W	YLR060W_mRNA	FRS1
YJR147W	YJR147W_mRNA	HMS2
YDR394W	YDR394W_mRNA	RPT3
YCR051W	YCR051W_mRNA	
YHL003C	YHL003C_mRNA	LAG1
YOR361C	YOR361C_mRNA	PRT1
YPR168W	YPR168W_mRNA	NUT2
YDR320C-A	YDR320C-A_mRNA	DAD4
YGL006W-A	YGL006W-A_mRNA	
YLR185W	YLR185W_mRNA	RPL37A
YPL181W	YPL181W_mRNA	CTI6
YOL160W	YOL160W_mRNA	
YER093C-A	YER093C-A_mRNA	AIM11
YJL095W	YJL095W_mRNA	BCK1
snR80	snR80_snoRNA	SNR80
YKL088W	YKL088W_mRNA	CAB3
YDL021W	YDL021W_mRNA	GPM2
YDR023W	YDR023W_mRNA	SES1
YHL027W	YHL027W_mRNA	RIM101
