#Gene stable ID	Transcript stable ID	Gene name
YPL060W	YPL060W_mRNA	MFM1
YNL333W	YNL333W_mRNA	SNZ2
YCL038C	YCL038C_mRNA	ATG22
YBL035C	YBL035C_mRNA	POL12
YJL092W	YJL092W_mRNA	SRS2
YGL010W	YGL010W_mRNA	MPO1
tI(GAU)Q	tI(GAU)Q_tRNA	
YML076C	YML076C_mRNA	WAR1
YDR379W	YDR379W_mRNA	RGA2
YDL029W	YDL029W_mRNA	ARP2
tT(UGU)H	tT(UGU)H_tRNA	
YDR205W	YDR205W_mRNA	MSC2
YJL031C	YJL031C_mRNA	BET4
YLR016C	YLR016C_mRNA	PML1
YOL116W	YOL116W_mRNA	MSN1
YGR019W	YGR019W_mRNA	UGA1
YKL096C-B	YKL096C-B_mRNA	
YMR137C	YMR137C_mRNA	PSO2
YLR034C	YLR034C_mRNA	SMF3
YOL041C	YOL041C_mRNA	NOP12
YDL198C	YDL198C_mRNA	GGC1
YPR076W	YPR076W_mRNA	
tS(AGA)J	tS(AGA)J_tRNA	
YHR118C	YHR118C_mRNA	ORC6
YJL097W	YJL097W_mRNA	PHS1
YDL120W	YDL120W_mRNA	YFH1
YLR292C	YLR292C_mRNA	SEC72
YPR170W-B	YPR170W-B_mRNA	
YKR091W	YKR091W_mRNA	SRL3
YPR016C	YPR016C_mRNA	TIF6
YNL103W	YNL103W_mRNA	MET4
YAL012W	YAL012W_mRNA	CYS3
YJL148W	YJL148W_mRNA	RPA34
YER039C-A	YER039C-A_mRNA	
YKL162C-A	YKL162C-A_mRNA	
YDR421W	YDR421W_mRNA	ARO80
YGL051W	YGL051W_mRNA	MST27
YER058W	YER058W_mRNA	PET117
YNL243W	YNL243W_mRNA	SLA2
YGL220W	YGL220W_mRNA	
YDL186W	YDL186W_mRNA	
YER110C	YER110C_mRNA	KAP123
YLL027W	YLL027W_mRNA	ISA1
YER135C	YER135C_mRNA	
YOL060C	YOL060C_mRNA	MAM3
YCL051W	YCL051W_mRNA	LRE1
YBL049W	YBL049W_mRNA	MOH1
YOL102C	YOL102C_mRNA	TPT1
YGR065C	YGR065C_mRNA	VHT1
YMR292W	YMR292W_mRNA	GOT1
YBL021C	YBL021C_mRNA	HAP3
YPR026W	YPR026W_mRNA	ATH1
YLR421C	YLR421C_mRNA	RPN13
YHR054W-A	YHR054W-A_mRNA	
tY(GUA)J2	tY(GUA)J2_tRNA	SUP4
YPR154W	YPR154W_mRNA	PIN3
YAL058W	YAL058W_mRNA	CNE1
YDR119W-A	YDR119W-A_mRNA	COX26
YJR055W	YJR055W_mRNA	HIT1
YMR273C	YMR273C_mRNA	ZDS1
YHL008C	YHL008C_mRNA	
YNL212W	YNL212W_mRNA	VID27
YDR429C	YDR429C_mRNA	TIF35
YCL027W	YCL027W_mRNA	FUS1
YCR030C	YCR030C_mRNA	SYP1
YGR048W	YGR048W_mRNA	UFD1
YPL249C	YPL249C_mRNA	GYP5
YLR165C	YLR165C_mRNA	PUS5
YDR220C	YDR220C_mRNA	
YDR263C	YDR263C_mRNA	DIN7
YBR187W	YBR187W_mRNA	GDT1
YOR244W	YOR244W_mRNA	ESA1
YBR201C-A	YBR201C-A_mRNA	
YBR074W	YBR074W_mRNA	
YDL195W	YDL195W_mRNA	SEC31
YDR007W	YDR007W_mRNA	TRP1
YOL014W	YOL014W_mRNA	
YLR059C	YLR059C_mRNA	REX2
YML130C	YML130C_mRNA	ERO1
YBR223C	YBR223C_mRNA	TDP1
tP(UGG)Q	tP(UGG)Q_tRNA	
YCR018C-A	YCR018C-A_mRNA	
YER019W	YER019W_mRNA	ISC1
YIR016W	YIR016W_mRNA	
YIL069C	YIL069C_mRNA	RPS24B
YLR440C	YLR440C_mRNA	SEC39
YIL102C	YIL102C_mRNA	
YER042W	YER042W_mRNA	MXR1
YBL069W	YBL069W_mRNA	AST1
YML116W	YML116W_mRNA	ATR1
YHR058C	YHR058C_mRNA	MED6
YMR265C	YMR265C_mRNA	
YDL169C	YDL169C_mRNA	UGX2
YPL109C	YPL109C_mRNA	
YPL204W	YPL204W_mRNA	HRR25
YLR365W	YLR365W_mRNA	
YOR047C	YOR047C_mRNA	STD1
YLR222C	YLR222C_mRNA	UTP13
YPR183W	YPR183W_mRNA	DPM1
YOR396C-A	YOR396C-A_mRNA	
YER077C	YER077C_mRNA	MRX1
YDR348C	YDR348C_mRNA	PAL1
YKL030W	YKL030W_mRNA	
YGR295C	YGR295C_mRNA	COS6
YER039C	YER039C_mRNA	HVG1
YPL230W	YPL230W_mRNA	USV1
YFL007W	YFL007W_mRNA	BLM10
YLR371W	YLR371W_mRNA	ROM2
YMR061W	YMR061W_mRNA	RNA14
YPL159C	YPL159C_mRNA	PET20
YMR288W	YMR288W_mRNA	HSH155
YMR166C	YMR166C_mRNA	MME1
YHR142W	YHR142W_mRNA	CHS7
YJR111C	YJR111C_mRNA	PXP2
YPL152W	YPL152W_mRNA	RRD2
YJR113C	YJR113C_mRNA	RSM7
YDR230W	YDR230W_mRNA	
YDR131C	YDR131C_mRNA	
YEL020W-A	YEL020W-A_mRNA	TIM9
YLR116W	YLR116W_mRNA	MSL5
YIR040C	YIR040C_mRNA	
YLR013W	YLR013W_mRNA	GAT3
YBR125C	YBR125C_mRNA	PTC4
YPL216W	YPL216W_mRNA	
YOR290C	YOR290C_mRNA	SNF2
YEL012W	YEL012W_mRNA	UBC8
YLR179C	YLR179C_mRNA	
YDR297W	YDR297W_mRNA	SUR2
YBR191W	YBR191W_mRNA	RPL21A
YKL060C	YKL060C_mRNA	FBA1
tV(AAC)G2	tV(AAC)G2_tRNA	
YDL215C	YDL215C_mRNA	GDH2
YJL205C	YJL205C_mRNA	NCE101
YGL133W	YGL133W_mRNA	ITC1
YOR355W	YOR355W_mRNA	GDS1
YIL061C	YIL061C_mRNA	SNP1
YGR078C	YGR078C_mRNA	PAC10
YJR020W	YJR020W_mRNA	
YAR068W	YAR068W_mRNA	
YLR417W	YLR417W_mRNA	VPS36
YDL129W	YDL129W_mRNA	
YPR064W	YPR064W_mRNA	
YPL082C	YPL082C_mRNA	MOT1
YMR101C	YMR101C_mRNA	SRT1
YBR299W	YBR299W_mRNA	MAL32
YDL088C	YDL088C_mRNA	ASM4
YKR034W	YKR034W_mRNA	DAL80
tF(GAA)G	tF(GAA)G_tRNA	
YOR199W	YOR199W_mRNA	
YOR005C	YOR005C_mRNA	DNL4
YCR081W	YCR081W_mRNA	SRB8
YHR143W-A	YHR143W-A_mRNA	RPC10
YMR296C	YMR296C_mRNA	LCB1
YMR212C	YMR212C_mRNA	EFR3
YDR039C	YDR039C_mRNA	ENA2
YFL027C	YFL027C_mRNA	GYP8
YJL075C	YJL075C_mRNA	APQ13
tF(GAA)B	tF(GAA)B_tRNA	
YBR219C	YBR219C_mRNA	
YBL032W	YBL032W_mRNA	HEK2
YFR039C	YFR039C_mRNA	OSW7
YER184C	YER184C_mRNA	TOG1
YBR114W	YBR114W_mRNA	RAD16
YBR267W	YBR267W_mRNA	REI1
RDN5-1	RDN5-1_rRNA	RDN5-1
tH(GUG)G2	tH(GUG)G2_tRNA	
YIL009C-A	YIL009C-A_mRNA	EST3
YMR153C-A	YMR153C-A_mRNA	
YPL035C	YPL035C_mRNA	
YDR075W	YDR075W_mRNA	PPH3
YER060W-A	YER060W-A_mRNA	FCY22
tI(AAU)I1	tI(AAU)I1_tRNA	
YNL135C	YNL135C_mRNA	FPR1
YPR107C	YPR107C_mRNA	YTH1
tX(XXX)L	tX(XXX)L_tRNA	
YOL001W	YOL001W_mRNA	PHO80
YNL032W	YNL032W_mRNA	SIW14
YHR060W	YHR060W_mRNA	VMA22
YOR187W	YOR187W_mRNA	TUF1
YMR127C	YMR127C_mRNA	SAS2
YDL223C	YDL223C_mRNA	HBT1
YDR156W	YDR156W_mRNA	RPA14
YDR167W	YDR167W_mRNA	TAF10
YLL065W	YLL065W_mRNA	YLL065W
YGR281W	YGR281W_mRNA	YOR1
YIL060W	YIL060W_mRNA	
YJL015C	YJL015C_mRNA	
YPL146C	YPL146C_mRNA	NOP53
YGL148W	YGL148W_mRNA	ARO2
YPR133W-A	YPR133W-A_mRNA	TOM5
YAL044C	YAL044C_mRNA	GCV3
YOR151C	YOR151C_mRNA	RPB2
YNL046W	YNL046W_mRNA	
YJL003W	YJL003W_mRNA	COX16
YEL058W	YEL058W_mRNA	PCM1
tV(AAC)O	tV(AAC)O_tRNA	
YNL325C	YNL325C_mRNA	FIG4
YLR369W	YLR369W_mRNA	SSQ1
YGL004C	YGL004C_mRNA	RPN14
YJL196C	YJL196C_mRNA	ELO1
YPR015C	YPR015C_mRNA	
YMR013C	YMR013C_mRNA	SEC59
YHL013C	YHL013C_mRNA	OTU2
YER165W	YER165W_mRNA	PAB1
YIL089W	YIL089W_mRNA	
YNL062C	YNL062C_mRNA	GCD10
YML059C	YML059C_mRNA	NTE1
YML086C	YML086C_mRNA	ALO1
YPL036W	YPL036W_mRNA	PMA2
YOR161C-C	YOR161C-C_mRNA	
YBL061C	YBL061C_mRNA	SKT5
YIL166C	YIL166C_mRNA	
YHR216W	YHR216W_mRNA	IMD2
YER182W	YER182W_mRNA	FMP10
YGR190C	YGR190C_mRNA	
YKR005C	YKR005C_mRNA	
YJR162C	YJR162C_mRNA	
YMR186W	YMR186W_mRNA	HSC82
YJL152W	YJL152W_mRNA	
YMR169C	YMR169C_mRNA	ALD3
YDR274C	YDR274C_mRNA	
tI(AAU)E1	tI(AAU)E1_tRNA	
YBL083C	YBL083C_mRNA	
YCL056C	YCL056C_mRNA	PEX34
YGL223C	YGL223C_mRNA	COG1
YJL098W	YJL098W_mRNA	SAP185
YOR396W	YOR396W_mRNA	YRF1-8
YJL120W	YJL120W_mRNA	
YLR332W	YLR332W_mRNA	MID2
snR71	snR71_snoRNA	SNR71
YNL285W	YNL285W_mRNA	
YIL029W-A	YIL029W-A_mRNA	
YOL066C	YOL066C_mRNA	RIB2
YNL247W	YNL247W_mRNA	
YPR102C	YPR102C_mRNA	RPL11A
YBR287W	YBR287W_mRNA	YBR287W
YGL007C-A	YGL007C-A_mRNA	
YGL175C	YGL175C_mRNA	SAE2
YHR071W	YHR071W_mRNA	PCL5
YIL095W	YIL095W_mRNA	PRK1
YHR107C	YHR107C_mRNA	CDC12
YOL166W-A	YOL166W-A_mRNA	
YLR050C	YLR050C_mRNA	
YCR010C	YCR010C_mRNA	ADY2
YNL161W	YNL161W_mRNA	CBK1
YOR055W	YOR055W_mRNA	YOR055W
YGL063C-A	YGL063C-A_mRNA	
YMR306W	YMR306W_mRNA	FKS3
YAR066W	YAR066W_mRNA	
YGL128C	YGL128C_mRNA	CWC23
YPR048W	YPR048W_mRNA	TAH18
YLR345W	YLR345W_mRNA	
YPR140W	YPR140W_mRNA	TAZ1
YKL208W	YKL208W_mRNA	CBT1
Q0045	Q0045_mRNA	COX1
YKL058W	YKL058W_mRNA	TOA2
YGL030W	YGL030W_mRNA	RPL30
YHR209W	YHR209W_mRNA	CRG1
YJL082W	YJL082W_mRNA	IML2
YKR017C	YKR017C_mRNA	HEL1
YER126C	YER126C_mRNA	NSA2
YDR110W	YDR110W_mRNA	FOB1
YKR040C	YKR040C_mRNA	
YGL033W	YGL033W_mRNA	HOP2
tG(CCC)D	tG(CCC)D_tRNA	SUF3
YKL046C	YKL046C_mRNA	DCW1
YLR236C	YLR236C_mRNA	
YGR165W	YGR165W_mRNA	MRPS35
YML103C	YML103C_mRNA	NUP188
YFL010W-A	YFL010W-A_mRNA	AUA1
YNL338W	YNL338W_mRNA	
YGR193C	YGR193C_mRNA	PDX1
YJL197C-A	YJL197C-A_mRNA	
YLR439W	YLR439W_mRNA	MRPL4
YKL001C	YKL001C_mRNA	MET14
YKL078W	YKL078W_mRNA	DHR2
YJL062W	YJL062W_mRNA	LAS21
YPL245W	YPL245W_mRNA	
YBR058C-A	YBR058C-A_mRNA	TSC3
YNL106C	YNL106C_mRNA	INP52
YNL204C	YNL204C_mRNA	SPS18
YDR211W	YDR211W_mRNA	GCD6
YDL109C	YDL109C_mRNA	
YIL111W	YIL111W_mRNA	COX5B
YOR117W	YOR117W_mRNA	RPT5
YOR074C	YOR074C_mRNA	CDC21
YKL223W	YKL223W_mRNA	
YPL170W	YPL170W_mRNA	DAP1
YHR072W	YHR072W_mRNA	ERG7
YOR077W	YOR077W_mRNA	RTS2
YAL043C	YAL043C_mRNA	PTA1
YPL283W-A	YPL283W-A_mRNA	
YEL075W-A	YEL075W-A_mRNA	YEL075W-A
YPL115C	YPL115C_mRNA	BEM3
YBR268W	YBR268W_mRNA	MRPL37
YJR022W	YJR022W_mRNA	LSM8
YER025W	YER025W_mRNA	GCD11
YPL226W	YPL226W_mRNA	NEW1
YLR348C	YLR348C_mRNA	DIC1
YNL320W	YNL320W_mRNA	
YEL070W	YEL070W_mRNA	DSF1
YMR034C	YMR034C_mRNA	RCH1
YJL178C	YJL178C_mRNA	ATG27
YMR310C	YMR310C_mRNA	
YKL132C	YKL132C_mRNA	RMA1
YBR286W	YBR286W_mRNA	APE3
YKR032W	YKR032W_mRNA	
YOL163W	YOL163W_mRNA	
YDR524C-A	YDR524C-A_mRNA	YDR524C-A
YGR044C	YGR044C_mRNA	RME1
YJL133C-A	YJL133C-A_mRNA	
YCR023C	YCR023C_mRNA	
