ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
381	1,4	56,19			142	183
382	0,0	16,12			198	198
383	4,1	16,12			198	198
384	4,1	0,0			198	198
385	5,1	1053,663			198	198
386	78,72	304,265			174	198
387	138,142	310,268			174	198
388	431,438	105,79			174	198
389	46,53	105,79			198	198
390	46,53	431,438			198	174
391	57,53	136,94			198	198
392	43,25	46,55			198	198
393	104,77	69,63			198	198
394	615,427	442,228			166	183
395	210,264	289,184			198	180
396	249,316	451,343			198	198
397	625,443	452,336			198	198
398	633,453	106,90			198	198
399	633,453	217,268			198	198
400	551,441	565,452			198	192
401	248,170	701,589			198	198
402	942,665	546,427			198	198
403	942,665	550,427			198	198
404	180,87	275,200			170	198
405	184,87	608,386			170	198
406	0,0	0,0			198	198
407	4,3	0,0			186	198
408	4,3	2,4			186	198
409	0,0	2,4			198	198
410	0,0	8,8			198	198
411	0,0	0,0			198	198
412	1271,736	3,1			198	198
413	405,247	731,495			198	198
414	352,215	1,0			198	198
415	0,0	524,372			198	198
416	619,418	519,369			198	198
417	619,418	519,369			198	198
418	619,418	575,403			198	198
419	2437,1307	3960,2895			198	198
420	25,14	3962,2896			198	198
421	2491,1231	3029,2304			198	198
422	59,44	87,46			198	198
423	104,82	128,134			198	195
424	39,44	48,31			198	198
425	59,59	43,94			198	198
426	2,0	0,1			139	134
427	44,35	78,46			187	198
428	75,67	100,68			181	171
429	1949,1894	1080,885			195	198
430	190,155	236,179			186	156
431	20,21	1824,1365			198	198
432	20,21	845,529			198	198
433	692,519	273,132			177	132
434	692,519	305,167			177	150
435	918,559	892,593			165	153
436	257,254	13,4			172	198
437	6,4	181,98			198	177
438	19,7	209,145			198	157
439	0,0	624,422			198	195
440	369,226	413,279			198	195
441	9,6	0,0			141	185
442	1021,1336	656,665			185	198
443	1912,1789	2280,2313			198	185
444	2,2	10,14			153	138
445	512,465	2360,1163			175	198
446	622,303	295,215			161	198
447	622,303	327,231			161	159
448	259,222	349,317			198	198
449	4,3	353,316			198	198
450	4,0	310,247			134	198
451	0,0	1,0			198	198
452	94,80	19,43			198	198
453	266,182	418,293			198	198
454	12,7	419,291			198	198
455	11,2	16,8			198	198
456	163,138	161,117			183	198
457	0,0	0,0			165	163
458	0,0	0,0			187	142
459	498,399	349,183			183	136
460	1,0	349,183			169	136
461	0,0	648,473			198	185
462	1024,680	11,18			185	198
463	18,11	22,10			198	195
464	3,0	22,10			198	195
465	34,23	314,165			164	198
466	125,60	105,78			198	174
467	112,82	313,165			190	198
468	0,0	0,0			146	145
469	0,0	0,0			198	145
470	0,0	0,0			198	146
471	73,32	71,51			182	178
472	25,13	118,107			145	198
473	0,1	57,47			198	130
474	77,60	0,2			198	130
475	25,31	102,78			164	198
476	5,0	5,6			198	146
477	387,245	130,95			198	158
478	70,58	92,52			198	189
479	0,1	701,487			198	198
480	13,6	509,409			198	198
481	454,332	506,408			198	198
482	40,27	40,22			198	189
483	0,0	2,0			198	198
484	318,194	368,264			198	185
485	11,4	11,4			142	153
486	333,265	46,21			130	198
487	117,106	209,152			130	198
488	221,162	331,168			198	198
489	341,163	268,204			198	198
490	0,0	0,0			198	198
491	74,48	270,178			168	198
492	1420,1451	1287,982			197	167
493	140,110	162,169			198	198
494	5,81	259,316			198	198
495	1028,760	2275,1403			198	198
496	904,476	735,419			198	198
497	3,2	2369,2118			198	198
498	119,303	3205,2154			147	198
499	452,225	709,397			183	198
500	549,325	401,185			198	150
501	1,0	5,3			198	184
502	154,132	1043,708			198	198
503	58,31	137,86			186	198
504	7515,8457	2144,4775			198	198
505	32,73	7,11			155	198
506	0,0	0,0			198	198
507	0,0	0,0			198	198
508	0,0	0,0			198	198
509	13,76	46,102			198	196
510	0,0	4,3			198	198
511	60,81	75,73			198	153
512	151,108	87,53			171	165
513	0,0	0,0			135	177
514	19,19	1623,1600			198	177
515	0,0	0,0			198	127
516	0,0	0,0			198	197
