ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
506	70,44	0,0			101	99
507	8,11	4,7			102	99
508	10,6	81,34			119	99
509	67,43	1,3			103	99
510	7,1	0,1			103	99
511	55,48	52,40			173	99
512	0,0	0,0			151	99
513	0,1	0,0			141	99
514	3,3	72,38			136	99
515	0,0	0,0			111	99
516	366,285	254,240			117	99
517	42,41	254,240			152	99
518	6,2	330,246			134	99
519	38,39	3,1			117	99
520	1555,895	29,29			102	99
521	1,0	1326,807			123	99
522	124,75	8,6			923	99
523	3,10	0,0			173	99
524	0,0	0,0			135	99
525	0,0	0,0			142	99
526	722,417	2,2			199	99
527	17382,11655	0,1			4099	99
528	9,16	0,0			117	99
529	5,52	0,0			104	99
530	3,21	0,0			135	99
531	6,23	0,0			159	99
532	1,11	3,42			130	99
533	4,13	3,42			154	99
534	3,4	0,2			123	99
535	9,7	2,1			120	99
536	94,60	2,1			131	99
537	85,53	0,0			110	99
538	36,26	7,3			102	99
539	266,208	2,2			102	99
540	0,0	0,0			137	99
541	0,0	107,101			129	99
542	3,1	4,7			116	99
543	160,115	1,0			143	99
544	160,112	0,3			143	99
545	0,0	0,0			102	99
546	0,0	0,0			101	99
547	0,0	0,0			122	99
548	18,29	442,346			163	99
549	19,29	4,1			163	99
550	344,224	1,4			489	99
551	645,509	0,0			113	99
552	21,15	1,0			246	99
553	0,0	0,0			123	99
554	0,0	0,0			123	99
555	0,0	0,0			123	99
556	2,1	15,11			226	99
557	16,7	0,0			300	99
558	164,93	0,0			169	99
559	10,14	4,7			102	99
560	72,61	102,76			142	99
561	15,6	1,1			102	99
562	7,10	8,5			102	99
563	0,0	3,0			111	99
564	3,3	0,0			243	99
565	0,0	0,0			148	99
566	0,0	0,0			153	99
567	0,0	0,0			104	99
568	330,272	0,1			2333	99
569	0,0	0,0			135	99
570	2,0	357,258			107	99
571	0,0	0,0			160	99
572	487,354	0,0			153	99
573	1,0	0,0			117	99
574	24,6	17,6			102	99
575	110,82	0,1			1539	99
576	0,0	0,0			144	99
577	13,12	61,46			119	99
578	100,82	0,0			121	99
579	0,0	0,0			117	99
580	0,0	0,0			145	99
581	4,5	0,0			119	99
582	5,2	0,0			165	99
583	277,203	1,2			147	99
584	0,0	0,0			202	99
585	0,0	0,0			207	99
586	0,0	0,0			229	99
587	0,0	0,0			104	99
588	0,0	0,0			126	99
589	0,0	0,0			121	99
590	0,0	0,0			103	99
591	0,0	0,0			103	99
592	0,0	0,0			106	99
593	8,2	4,8			103	99
594	0,0	0,0			152	99
595	30,29	0,1			103	99
596	0,0	0,0			102	99
597	2,6	0,0			171	99
598	7,3	0,1			169	99
599	10,2	0,0			171	99
600	1,2	0,0			168	99
601	0,0	0,4			125	99
602	183,109	0,3			303	99
603	37,31	1,2			252	99
604	0,1	0,0			215	99
605	41,14	2036,1165			186	99
606	0,0	0,0			102	99
607	0,0	0,0			676	99
608	0,0	0,0			697	99
609	0,0	0,0			716	99
610	0,0	0,0			948	99
611	0,0	0,0			120	99
612	0,0	0,0			139	99
613	0,0	0,0			371	99
614	0,0	0,0			118	99
615	0,0	0,0			350	99
616	0,0	0,0			331	99
617	0,0	0,0			102	99
618	0,0	0,0			148	99
619	151,74	1173,724			418	99
620	1126,902	9,19			194	99
621	17,3	9,12			250	99
622	11,8	1,0			156	99
623	556,337	0,0			728	99
624	617,493	0,0			138	99
625	59,117	0,1			343	99
626	2866,2363	0,1			109	99
627	1093,1486	4,2			123	99
628	4,1	3,8			125	99
629	224,127	792,588			237	99
630	521,395	40,35			268	99
631	1089,856	40,35			130	99
632	128,93	59,36			134	99
633	0,0	0,0			144	99
634	0,0	0,0			102	99
635	0,1	0,0			102	99
636	0,0	0,0			102	99
637	10,10	14,7			102	99
638	2,3	0,1			102	99
639	0,0	0,0			102	99
640	0,0	0,0			115	99
641	0,2	1,0			102	99
642	0,0	0,0			102	99
643	0,0	5,4			244	99
644	0,0	0,0			105	99
645	0,0	0,0			102	99
646	0,0	0,0			186	99
647	0,0	0,0			413	99
648	0,0	0,0			326	99
649	0,0	0,0			186	99
650	0,0	0,0			413	99
651	0,0	0,0			326	99
652	40,26	0,0			118	99
653	38,15	21,13			102	99
654	10,11	0,0			138	99
655	5,11	0,3			102	99
656	0,0	0,0			209	99
657	159,185	5,14			287	99
658	3232,3673	1,2			176	99
659	0,1	26,27			102	99
660	16,18	190,128			102	99
661	77,70	0,1			108	99
662	0,0	0,0			136	99
663	0,0	0,0			183	99
664	4,4	1,2			102	99
665	0,0	0,0			117	99
666	0,0	0,0			210	99
667	14,11	505,294			122	99
668	0,9	66,161			127	99
669	102,284	0,0			117	99
670	50,83	0,0			136	99
671	8,2	41,36			146	99
672	0,0	0,0			272	99
673	61,103	6,11			163	99
674	3,1	29,16			102	99
675	0,0	1,0			102	99
676	0,0	0,0			212	99
677	13,12	0,0			131	99
678	4,3	0,0			155	99
679	0,2	9,11			123	99
680	74,60	0,0			116	99
681	16,20	1781,1914			116	99
682	33,22	3,2			125	99
683	32,24	3,2			159	99
684	6,6	7,4			133	99
685	0,0	0,0			225	99
686	0,0	0,1			132	99
687	2,5	0,0			132	99
688	4,6	0,0			207	99
689	1,2	1,0			129	99
690	17,10	1,0			273	99
691	16,8	0,0			243	99
692	10,9	0,0			273	99
693	0,0	0,0			121	99
694	77,54	306,141			176	99
695	16,20	0,0			102	99
696	1,2	0,0			234	99
697	0,0	0,0			103	99
698	0,0	0,0			118	99
699	0,5	0,0			275	99
700	0,0	0,0			112	99
701	0,0	0,0			136	99
702	2,0	0,0			102	99
703	7,3	0,0			196	99
704	1,3	1,0			147	99
705	1,1	6,12			102	99
706	30,53	251,444			177	99
707	23,18	268,503			133	99
708	23,22	7,2			133	99
709	226,462	0,0			189	99
710	293,575	6,14			231	99
711	67,113	6,14			141	99
712	1306,786	5,4			195	99
713	7,6	0,0			122	99
714	21,14	0,2			234	99
715	119,82	90,52			132	99
716	38,25	33,27			132	99
717	40,31	12,19			132	99
718	5,8	15,19			173	99
719	314,280	0,0			104	99
720	1035,855	1,7			169	99
721	1174,984	5,9			207	99
722	140,136	5,9			137	99
723	30,48	102,127			147	99
724	2,0	12,26			102	99
725	1,6	7,8			123	99
726	352,660	0,0			163	99
727	0,0	0,0			158	99
728	0,0	0,0			132	99
729	0,1	29,21			153	99
730	51,54	187,225			115	99
731	23,18	21,20			115	99
732	1,0	0,1			266	99
733	111,610	1,1			178	99
734	54,93	431,428			795	99
735	78,129	431,428			1049	99
736	865,1069	0,1			1828	99
737	731,904	2,4			104	99
738	25,18	61909,40385			120	99
739	67,35	32980,24859			204	99
740	33043,24934	0,1			342	99
741	31,83	1,5			142	99
742	338,404	8,9			198	99
743	167,221	8,9			298	99
744	13,27	184,210			199	99
745	7,13	2,2			102	99
746	1270,1006	2,2			149	99
747	1268,995	5,2			146	99
748	0,0	0,0			104	99
749	4,2	0,0			105	99
750	22,7	71,46			398	99
751	3,3	0,1			123	99
752	35,114	0,0			120	99
753	7,9	62,350			169	99
754	0,2	0,0			2266	99
755	220,217	0,0			138	99
756	930,619	1,0			263	99
757	0,0	1,0			119	99
758	4,2	1,1			129	99
759	18,12	292,223			282	99
760	1,1	130,84			102	99
761	0,0	0,0			770	99
762	353,520	0,0			871	99
763	124,128	0,1			106	99
764	0,0	0,0			156	99
765	0,0	2,3			237	99
766	0,1	1,1			150	99
767	0,2	5,13			102	99
768	1,4	0,1			146	99
769	79,60	1717,1784			141	99
770	378,395	0,0			115	99
771	97,70	201,252			120	99
772	63,39	201,252			244	99
773	30,28	64,59			223	99
774	16,22	328,330			218	99
775	0,1	0,0			124	99
776	1273,1168	0,0			101	99
777	1291,1191	0,0			107	99
778	18,23	0,0			105	99
779	2786,1871	2,0			541	99
780	208,92	0,1			103	99
781	0,0	0,0			103	99
782	0,0	0,0			225	99
783	0,0	0,0			125	99
784	14,12	0,0			1284	99
785	0,0	0,0			297	99
786	2,5	85,161			136	99
787	478,508	2,0			1386	99
788	2,10	1,13			103	99
789	266,415	2,8			295	99
790	10528,10084	4,3			199	99
791	57,35	3,0			130	99
792	59,41	0,0			139	99
793	5,6	0,0			108	99
794	3,3	0,0			216	99
795	3,3	183,129			102	99
796	0,1	0,0			102	99
797	14,13	89,108			177	99
798	2,1	0,0			162	99
799	1,2	0,0			243	99
800	1,1	1,1			104	99
801	5,12	0,1			104	99
802	2,0	1,1			102	99
803	39,25	3,6			140	99
804	28,16	10,10			268	99
805	27,20	0,0			104	99
806	30,16	0,0			103	99
807	227,143	3,1			627	99
808	39,29	0,3			131	99
809	47,54	2,3			131	99
810	42,37	0,0			103	99
811	546,372	1,0			347	99
812	17,23	1,1			201	99
813	0,0	24,21			114	99
814	0,0	0,0			260	99
815	1,0	0,0			233	99
816	0,0	3,1			116	99
817	0,0	0,0			123	99
818	2,0	0,0			235	99
819	0,0	0,0			147	99
820	1,0	4,1			165	99
821	80,196	1,0			405	99
822	3,3	284,359			150	99
823	21,19	213,327			269	99
824	0,0	1,1			182	99
825	0,2	1,1			102	99
826	0,0	0,0			125	99
827	0,0	0,0			139	99
