gene_symbol$transcript_id$relative_likelihood$best_order$number_of_orders_have_same_prob$percent_coverage_order_pair$disorder_p_value$spearman_rho$spearman_rho_abs$spearman_p_value
SPAC16C9.01c$SPAC16C9.01c.1$-2.25878247033565$2,1$1$1$-10.2422788583972$-1$1$1
SPAC16C9.02c$SPAC16C9.02c.1$-2.39789527279837$2,1$1$1$-1.30606938532732$-1$1$1
mot2$SPAC16C9.04c.1$-2.39789527279837$2,1$1$1$-1.30606938532732$-1$1$1
vph1$SPAC16E8.07c.1$-0.583376514424566$2,1$1$1$-2.05646786665039$-1$1$1
png3$SPAC16E8.12c.1$-16.9789717939833$3,2,1$1$1$-212.558730441246$-1$1$0.333333333333333
tif45$SPAC16E8.15.1$-0.583376514424566$2,1$1$1$-2.05646786665039$-1$1$1
SPAC1705.02$SPAC1705.02.1$-0.533110668555426$2,1$1$1$-1.39198585141592$-1$1$1
rsm19$SPAC1751.02c.1$0$1,2$1$1$-1.3889972657314$1$1$1
tif313$SPAC1751.03.1$0$1,2$1$1$-9.64208595688509$1$1$1
loc1$SPAC1751.04.1$-5.77753090505835$2,3,1$1$1$-8.90625042540793$-0.5$0.5$1
qcr8$SPAC1782.07.1$-2.27312306026373$1,3,2$1$1$-113.556723490917$0.5$0.5$1
atg12$SPAC1783.06c.1$0$1,2$1$1$-1.30606938532732$1$1$1
ntr2$SPAC17A2.08c.1$-4.79579054559674$3,1,2$1$1$-0.97826839123196$-0.5$0.5$1
fol2$SPAC17A5.13.1$0$1,2$1$1$-2.22768475370466$1$1$1
exo2$SPAC17A5.14.1$-2.39789527279837$2,1$1$1$-6.98127174943344$-1$1$1
nuc2$SPAC17C9.01c.1$0$1,2$1$1$-4.66260972314472$1$1$1
pnu1$SPAC17C9.08.1$-1.71297859137494$2,1$1$1$-3.06451459115529$-1$1$1
tim13$SPAC17C9.09c.1$0$1,2$1$1$-14.7053678895622$1$1$1
SPAC17C9.11c$SPAC17C9.11c.1$-3.04452243772342$2,1$1$1$-2.22768475370466$-1$1$1
scs22$SPAC17C9.12.1$-0.315081046639895$2,1$1$1$-0.712507031861618$-1$1$1
pex7$SPAC17D4.01.1$-0.0705345164837512$2,1$1$1$-0.43795677748684$-1$1$1
arc5$SPAC17G8.04c.1$-1.42809148979835$1,3,2$1$1$-49.168113996878$0.5$0.5$1
med20$SPAC17G8.05.1$-2.11296423371848$2,1$1$1$-5.00735299014261$-1$1$1
shg1$SPAC17G8.09.1$0$1,2$1$1$-6.19211401709247$1$1$1
mst2$SPAC17G8.13c.1$0$1,2$2$1$0$1$1$1
wip1$SPAC17G8.15.1$0$1,2$1$1$-3.34838156368657$1$1$1
SPAC17H9.13c$SPAC17H9.13c.1$-0.646627164925053$2,1$1$1$-0.578418824111348$-1$1$1
mdm10$SPAC17H9.17c.1$0$1,2$1$1$-1.30606938532732$1$1$1
trm13$SPAC1805.03c.1$-3.64133850934494$2,1$1$1$-49.9455807960811$-1$1$1
cki3$SPAC1805.05.1$-1.43743332261108$1,3,2$2$1$-28.2424357569769$0.5$0.5$1
dlc1$SPAC1805.08.1$-4.51085950651685$2,1$1$1$-7.68895467599084$-1$1$1
gpi18$SPAC18B11.05.1$0$1,2$1$1$-19.7628815600668$1$1$1
rhp6$SPAC18B11.07c.1$-0.549107810337008$1,3,2,4$2$1$-3.9721666756298$0.8$0.8$0.333333333333333
SPAC18B11.08c$SPAC18B11.08c.1$-7.45184282880518$1,4,3,2$1$1$-19.4117198353985$0.2$0.2$0.916666666666667
